STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,EMNT,EMXT,HDSD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-01,0,9,72,2229,37.5,43.6,31.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-02,0,8,49,3258,28.3,34.5,22
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-03,0,11,78,3964,42.2,50.9,33.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-04,11,30,86,4416,50.3,57.9,42.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-05,113,44,91,4511,65.2,75.3,55.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-06,315,54,91,4521,71.4,79.6,63.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-07,624,57,92,0,75,82.3,67.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-08,918,56,92,14,74,81.4,66.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-09,1095,50,88,33,70.3,78,62.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-10,1179,38,87,161,63.6,70.6,56.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-11,1179,26,66,748,45.4,51.6,39.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2007-12,1179,20,61,1618,36.9,41.6,32.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-01,0,12,64,2501,36.5,42.4,30.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-02,0,10,68,3349,35.8,43.1,28.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-03,0,27,63,4042,42.6,50.3,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-04,9,33,84,4353,54.9,63.5,46.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-05,34,44,83,4530,60.1,68.9,51.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-06,304,57,96,4531,74,82.6,65.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-07,720,66,96,0,78.4,86.2,70.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-08,993,58,90,0,73.8,82.6,65
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-09,1134,51,90,27,68.8,75.8,61.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-10,1137,36,75,335,55.1,62.3,47.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-11,1137,23,67,909,45.8,51.2,40.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2008-12,1137,13,67,1743,38.1,44.9,31.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-01,0,6,47,2893,27.9,33.4,22.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-02,0,12,65,3684,36.7,44.5,28.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-03,0,12,70,4384,42.4,49.7,35.1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-04,41,34,92,4740,54.5,62.9,46.1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-05,87,43,86,4864,62.5,70.5,54.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-06,193,50,84,4896,67.5,74.5,60.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-07,430,58,86,0,72.6,80.4,64.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-08,762,62,92,0,75.7,82.4,68.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-09,841,49,84,40,66.3,73,59.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-10,843,37,74,353,55,61.1,48.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-11,843,35,69,769,51.1,56.6,45.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2009-12,843,16,66,1671,35.9,41.9,29.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-01,0,13,57,2678,32.5,38.1,27
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-02,0,17,46,3571,33.1,37.9,28.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-03,0,29,74,4092,48.2,55,41.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-04,21,40,92,4327,57.9,67.3,48.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-05,132,41,92,4430,65.3,74.4,56.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-06,425,57,93,4433,74.7,83.2,66.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-07,931,61,103,0,81.3,90.1,72.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-08,1316,61,96,0,77.4,85.3,69.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-09,1503,54,96,5,71.1,78.7,63.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-10,1513,42,75,228,58.1,65,51.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-11,1513,34,65,741,47.9,53.6,42.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2010-12,1513,19,60,1741,32.8,37.7,27.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-01,0,6,53,2835,29.7,34.8,24.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-02,0,15,67,3647,36,43.7,28.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-03,0,20,77,4350,42.3,49.9,34.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-04,11,35,83,4682,54.3,62.6,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-05,95,46,89,4782,64.5,72.4,56.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-06,317,56,95,4784,72.3,80.2,64.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-07,790,63,104,0,80.3,88.9,71.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-08,1108,59,94,0,75.3,82.9,67.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-09,1282,51,86,23,70,76.2,63.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2011-10,1298,33,84,285,57.1,63.8,50.4
